Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Charles H Kim Elementary School,Charles H Kim Elementary School,ELEMENTARY SCHOOL,KTOWN/PICOUNION COS,90004,No,28,2
Charles H Kim Elementary School,Charles H Kim Elementary School,ELEMENTARY SCHOOL,KTOWN/PICOUNION COS,90004,Yes,11,2
Charles H Kim Elementary DL Two-Way Im Spanish,Charles H Kim Elementary School,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,No,24,3
Charles H Kim Elementary DL Two-Way Im Spanish,Charles H Kim Elementary School,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,Yes,40,2
Charles H Kim Elementary DL One-Way Im Korean,Charles H Kim Elementary School,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,No,24,4
Charles H Kim Elementary DL One-Way Im Korean,Charles H Kim Elementary School,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90004,Yes,128,32
Calahan Street Elementary,Calahan Street Elementary,ELEMENTARY SCHOOL,CLEVELAND COS,91324,No,59,0
Calahan Street Elementary,Calahan Street Elementary,ELEMENTARY SCHOOL,CLEVELAND COS,91324,Yes,8,0
Camellia Avenue Elementary DL Two-Way Im Spanish,Camellia Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,NO HLYWD/VAL VLG COS,91605,No,11,0
Camellia Avenue Elementary DL Two-Way Im Spanish,Camellia Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,NO HLYWD/VAL VLG COS,91605,Yes,22,0
Canfield Avenue Elementary,Canfield Avenue Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90035,No,148,7
Canfield Avenue Elementary,Canfield Avenue Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90035,Yes,26,5
Community Elementary Magnet Charter School,Community Elementary Magnet Charter School,MAGNET-SELF CONTAINED (ELEM),WEST LA COS,90049,No,4516,101
Community Elementary Magnet Charter School,Community Elementary Magnet Charter School,MAGNET-SELF CONTAINED (ELEM),WEST LA COS,90049,Yes,115,10
Cantara Street Elementary Visual/Performing Arts Magnet,Cantara Street Elementary,MAGNET CENTER - ELEMENTARY,CLEVELAND COS,91335,No,100,51
