Program_Name,School_Name,School_Type,School_ZipCode,Applicant_ZipCode,Applications_count,Seat_Offers
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90250,1,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90280,1,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90501,3,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90502,1,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90731,3,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90744,5,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90745,8,2
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90746,68,16
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90810,1,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,91402,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90002,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90003,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90011,2,2
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90021,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90037,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90043,2,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90044,4,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90047,4,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90059,1,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90061,2,1
