"ApplyCostCenterCode","ApplyProgramLocationCode","ApplyProgramName","ApplySchoolLocationCode","ApplySchool","ApplyCDSCode","ApplySchoolType","ApplyBoardDistrict","ApplyLocalDistrict","ApplyCommunityOfSchools","ApplyZipCode","ApplicantZipCode","Applications","SeatOffers","PropOfTotalApps","PropOfTotalSeatOffers"
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"91606",1,1,0.0071,0.0303
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"90008",1,0,0.0244,0
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"90016",8,4,0.1951,0.2667
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"90018",1,0,0.0244,0
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"90019",28,11,0.6829,0.7333
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"90302",1,0,0.0244,0
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"91605",1,0,0.0244,0
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"91737",1,0,0.0244,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90002",6,0,0.0382,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90003",4,0,0.0255,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90019",1,0,0.0064,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90025",1,0,0.0064,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90044",14,1,0.0892,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90047",8,1,0.051,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90059",4,1,0.0255,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90061",6,0,0.0382,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90062",2,0,0.0127,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90247",6,2,0.0382,0.069
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90248",11,1,0.0701,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90249",2,0,0.0127,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90250",1,1,0.0064,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90280",1,1,0.0064,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90501",3,0,0.0191,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90502",1,1,0.0064,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90731",3,1,0.0191,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90744",5,1,0.0318,0.0345
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90745",8,2,0.051,0.069
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90746",68,16,0.4331,0.5517
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"90810",1,0,0.0064,0
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"91402",1,0,0.0064,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90002",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90003",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90011",2,2,0.0253,0.1667
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90021",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90037",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90043",2,0,0.0253,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90044",4,0,0.0506,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90047",4,0,0.0506,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90059",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90061",2,1,0.0253,0.0833
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90220",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90222",3,0,0.038,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90247",4,2,0.0506,0.1667
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90248",6,2,0.0759,0.1667
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90249",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90250",1,0,0.0127,0
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"90302",2,0,0.0253,0
